"","text","screen_name","user_id","created_at","favourite_count","retweet_count","location","followers_count","friends_count","account_lang","lang"
"1","True, but I wish they printed the name, state, and party affiliation of everyone who voted for the bill on the checks. ""A properly functioning democracy depends on an informed electorate."" -Jefferson https://t.co/oOEmdHF7oh","teachergorman","103680741",2021-03-10 02:38:58,0,0,"Independence, Oregon",3677,5000,NA,"en"
"2","5. A free-spirit that goes wherever the party is! 

Sonic follows his morals and his morals only. It's my way or the highway! He does his best to extend a hand whenever he can, and has insanely selfless tendencies 

This isn't to say he's free of snark, though!","gottaspeedkeed","1327424241097117698",2021-03-10 02:38:57,0,0,"I'll <U+0001D649><U+0001D640><U+0001D651><U+0001D640><U+0001D64D> look back !! I've got <U+0001D649><U+0001D64A> <U+0001D667><U+0001D65A><U+0001D65C><U+0001D667><U+0001D65A><U+0001D669><U+0001D668> !! 
Cause time <U+0001D63F><U+0001D64A><U+0001D640><U+0001D64E><U+0001D649>’<U+0001D64F> wait for me !! I choose to go <U+0001D648><U+0001D654> <U+0001D64A><U+0001D652><U+0001D649> <U+0001D652><U+0001D63C><U+0001D654>  !! 

",623,90,NA,"en"
"3","How many @VictorianLabor party ministers are on #sickleave at the moment? https://t.co/Y8y92qSp5L","frank_megan","3248560680",2021-03-10 02:38:57,0,0,"",47,180,NA,"en"
"4","Who will become new Chief Minister of Uttarakhand name will be decided in Legislature Party meeting today https://t.co/oHNsHlhMJZ","ApnaRajya","978518347800285184",2021-03-10 02:38:56,0,0,"",34,17,NA,"en"
"5","Who will become new Chief Minister of Uttarakhand name will be decided in Legislature Party meeting today https://t.co/aN7Un82NmQ","ApnaRajya","978518347800285184",2021-03-10 02:33:01,0,0,"",34,17,NA,"en"
"6","The measure, which union leaders and labor allies have presented as a cure for decades of working-class wage stagnation, was approved on a mostly party-line 225-206 vote. https://t.co/exeejJfrk7","WSPA7","16138559",2021-03-10 02:38:56,0,0,"Spartanburg, SC",66380,422,NA,"en"
"7","@sesemistreet //mun: Yes. It's a beach party. You better come","daddymodaichi","1365935031378583560",2021-03-10 02:38:55,0,0,"RPW // 18+ NSFW // Lit-Semi",73,77,NA,"en"
"8","Politics wise: I don’t belong to no party I just support what’s right. Tired of the division, division just causes more hate.","CaligirlSeeker","1306476376661397505",2021-03-10 02:38:55,0,0,"Down Under",205,523,NA,"en"
"9","@Jim_Jordan @jimmyfailla Your party cancelled GOP Senators’ voices because they voted to impeach Trump. You also support cancelling Americans’ right to vote.","JimJordanJacket","1191839420812578816",2021-03-10 02:38:54,0,0,"Jim’s Closet",1946,55,NA,"en"
"10","Good. This will be the Republican Party’s demise .. https://t.co/jtgszfmUU9","monicagucci2015","709855433385754624",2021-03-10 02:38:54,0,0,"Palm Beach, FL",2709,3018,NA,"en"
"11","Satoshi Ohno<U+0001F499>
                     Sho Sakurai<U+2764><U+FE0F>
Aiba Masaki<U+0001F49A>
                     Kazunari Ninomiya<U+0001F49B>
Jun Matsumoto<U+0001F49C>

<U+2571>
We are ARASHI<U+0001F973><U+0001F389>
<U+2572>

REQUEST @arashi5official @MTV #FridayLivestream 

Please play Party Starters by #ARASHI 

Whenever You Call/Turning Up
IN THE SUMMER","hiragi99love","1242932792637317120",2021-03-10 02:38:48,0,0,"",832,886,NA,"en"
"12","@NiobiumEmpress I have known several. I think the first trans woman I met was around 2005 at a party in Somerville. She was a bass player and we spent like 40 minutes talking about how awesome Chris Squire was and what our favorite Yes songs were.","RickShag","32888223",2021-03-10 02:38:54,0,0,"Claremont, NH",69,144,NA,"en"
"13","@Pharrit Maybe true, but what of people who think this two party system is a joke and creating a divide between the people on purpose?","AnarchyMemes1","1349361111074746371",2021-03-10 02:38:53,0,0,"United States",4,20,NA,"en"
"14","@hinsonashley Like separating parents and children? Your party had four years to figure this out and only made it worse.","RandyOnEd","30952466",2021-03-10 02:38:53,0,0,"Des Moines, IA",3477,4552,NA,"en"
"15","Fleetwood Mac - Gold Dust Woman - Live in Japan 1977 https://t.co/efGJ8KbWHH via @YouTube 

STEVIE NICKS SONGS ETERNAL ABUSE OF WOMEN'S RIGHTS BY NAZI GOP PARTY &amp; NAZI ROBERTS COURT - WAR ON WOMEN FOREVER!!!

ANY MEN ABUSING WOMEN ARE ABUSING MOTHER OF GOD - MORTAL SIN MORONS!!!!","sturch45","349643145",2021-03-10 02:38:52,0,0,"Clarks Summit, Pa",37,8,NA,"en"
"16","@Sliczyy1 how,it won't let me include party chat","LawsonStephon","820077709724385281",2021-03-10 02:38:52,0,0,"Chicago, IL",1215,3317,NA,"en"
"17","The bill to limit a governor's authority with health orders in response to an emergency by giving lawmakers power to rescind them passed the Ohio House committee on a party line vote and appears headed for a full floor vote tomorrow. https://t.co/m7HZ5arnT7","karenkasler","18261728",2021-03-10 02:38:52,0,0,"Ohio Statehouse, Columbus",13250,425,NA,"en"
"18","not saying i have alternating emotions between love and hate for u.. but i think of u when i listen to pity party girls club","somnusphiliac","1130638809836580865",2021-03-10 02:38:52,0,0,"they.he.she",189,168,NA,"en"
"19","@ucatchmorebees @davidbewart He never had the full support of the parliamentary party. He was always walking on egg shells. It was inevitable that they would dump him as they did before.","anthony_butt","895022955603779584",2021-03-10 02:38:51,0,0,"Australia",496,584,NA,"en"
"20","@bkbaguley Look, they really don’t care. The Nats care more about the incursion of the Shooters, Fishers and Farmers Party into their territory. Barilaro wants to shore up Nats support in the bush. It’s about self interest once again.","anthony_butt","895022955603779584",2021-03-10 02:23:56,1,0,"Australia",496,584,NA,"en"
"21","What Would Reagan Say Now About the Chinese Communist Party? https://t.co/sWvCaDLADw","SCOURING15","731193380110274560",2021-03-10 02:38:51,0,0,"",29,722,NA,"en"
"22","@bladeefan23 what party","creamyangeI","1284021870765973504",2021-03-10 02:38:51,1,0,"14yo | ugw 38kg",361,151,NA,"en"
"23","my set for asia party fit so cute","iluvchabryal_","757818969042456576",2021-03-10 02:38:51,0,0,"honeymoon ave.",3876,2319,NA,"en"
"24","In honor of Women's Her-story Month, we celebrate You!
The Creation of #SayHerName Women Of The Black Panther Party Mural https://t.co/uvzUJVSE0w","TheBrickhouseGa","818348456",2021-03-10 02:38:48,0,0,"2837 36th Street, Sac 95817",367,320,NA,"en"
"25","Everyone wanna party but never wanna go to the zoo or Aquarium<U+0001F614>..","Renetira14","935784105664397312",2021-03-10 02:38:48,0,0,"Salem, OR",111,112,NA,"en"
"26","@98Blackwar @Respawn @PlayApex What means for u to hold an area ...siting in som fuck corner with traps and  after when great players fighting you going outside to 3rd party  ...the best thing what did @PlayApex is this nerf for caustic( sry for my english )","niky94ionutz","3678551482",2021-03-10 02:38:48,0,0,"Romania",2,119,NA,"en"
"27","@jmclennan8 @littlered_ace @Manyfeathers2 @Billy47490054 @NormalGuy223 A party based on who are “true” conservatives is a recipe for disaster because it naturally excludes people/supporters and creates a feed-back loop which pushes it further to the fringes.  This pushes away more people which goes on and on...","arsenaultcory","4025027189",2021-03-10 02:38:48,0,0,"",74,242,NA,"en"
