"","text","screen_name","user_id","created_at","favourite_count","retweet_count","location","followers_count","friends_count","account_lang"
"1","RT @onnlyfeels: Being “ raised right “ doesn’t mean you don’t drink, party, and smoke. Being raised right is how you treat people, your man…","Rachit93781579",1369486305294348288,"2021-03-10 03:12:33",0,3385,"",4,76,NA
"2","RT @willowspov: 5SOS FINALLY LEFT MODEST AND THAT CALLS FOR A STREAMING PARTY
DROP ALL YOUR 5SOS FANCAMS RN","desertxwalls",1369486305273417728,"2021-03-10 03:12:33",0,12,"ot9 ➵ LM ",457,548,NA
"3","RT @BernieSanders: Interesting. The Republican Party claims to be the party of the working class. Yet, according to a recent Pew poll, 63%…","JasonVaran",1369486303880953856,"2021-03-10 03:12:33",0,7620,"Jacksonville",173,477,NA
"4","I took my quick weave apart while I was on my way home from the party 😭","Spicyn_slim",1369486303100866560,"2021-03-10 03:12:33",0,0,NA,NA,NA,NA
"5","RT @carmenchasela: Tea Party anyone ? 🫖💐 https://t.co/5lrmD6UFdm","larrimunoz",1369486302333263872,"2021-03-10 03:12:32",0,21,"New Jersey, USA",6692,283,NA
"6","RT @maggieNYT: He didn’t start his own party, which is complicated to do and be competitive, but Trump is trying to set himself up as the p…","DoyerGayle",1369486301985128448,"2021-03-10 03:12:32",0,2506,"Anywhere, USA",71,369,NA
"7","@MexJG1 @ANTICONQUISTA What the hell does that article and that party have to with the statement workers of the wor… https://t.co/BNhEknInLT","mambi26",1369486300898881536,"2021-03-10 03:12:32",0,0,"Cuban 🇨🇺 Yoruba ☭ M-L (They)",10458,434,NA
"8","RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…","kosachand",1369486300663795712,"2021-03-10 03:12:32",0,4006,"India",46,495,NA
"9","the illusion of choice in a two party system https://t.co/z8gl7gFw99","godisafraidofme",1369486300114522112,"2021-03-10 03:12:32",0,0,"6’3”",135,50,NA
"10","@Haveyouseenth19 @LadyReverbs @DoneFlowar How the Democratic Party imploded in a swing State even though it was powered by huge $$$…","pablomelito1",1369486299527282688,"2021-03-10 03:12:32",0,0,"Central Florida",383,384,NA
"11","REQUEST @arashi5official @MTV #FridayLivestream

Please ""Whenever you call""by ARASHI !!!!!

(^O^)/(^O^)/(^O^)/(^O^)… https://t.co/JVdgPHz56O","ukyoh_amnos",1369486298612834304,"2021-03-10 03:12:32",0,0,"餃子の端っこ",222,264,NA
"12","RT @ProudSocialist: A sixth woman has come forward against @AndrewCuomo and Democrats are still defending him. Nobody in either party cares…","ShreoshiB",1369486297820098560,"2021-03-10 03:12:31",0,166,"Kolkata",3155,2742,NA
"13","RT @TeachToAmerica: So the state of the Republican Party is:

- Whining about canceling Dr. Seuss and Mr. Potato Head
- Whining about the B…","KitSprings",1369486297354694656,"2021-03-10 03:12:31",0,3,"Blue dot in forest/red state",5096,5546,NA
"14","Trying to write an AU of GtN where (besides other stuff) Cytherea doesn’t crash the party, and I just realized that… https://t.co/EUfxw1dz61","laminatednews",1369486297190985728,"2021-03-10 03:12:31",0,0,"",36,65,NA
"15","@RBReich None of them can be done by politics. Regardless of party","LibertyTre3",1369486294741622784,"2021-03-10 03:12:31",0,0,"Florida, USA",1092,649,NA
"16","RT @Paul_VanDerMeer: How is it possible that Americans that voted for a Republican don't understand? The Republican party doesn't give a fl…","godlessbutsunny",1369486292199878656,"2021-03-10 03:12:30",0,153,"",878,1355,NA
"17","@SgtSlag @LuluLuvely You only get third party in a few obvious places, one being the center of the map. It isn’t th… https://t.co/sxRAC9XStr","MacDaddyBass1",1369486290341728256,"2021-03-10 03:12:30",0,0,"",810,211,NA
"18","Y’all ever have a baby in a game just to flex on your party members who are unmarried?","nicmoiseyev",1369486290115235840,"2021-03-10 03:12:30",0,0,"Washington, DC",154,332,NA
"19","RT @SpecialPuppy1: It's a working-class party now! https://t.co/KPVLZtjx7w","AsmaraCool27",1369486289754611712,"2021-03-10 03:12:29",0,3,"",29,417,NA
"20","RT @RanbooSpotifys: Tubbo and Ranboo are currently in a listening party together :]","quackiteamo",1369486289330913280,"2021-03-10 03:12:29",0,116,"she/her 15 eng/esp",64,185,NA
"21","RT @TristanRiedford: To try and make the Combine seem a little less established in the world for HLA, we played around with their structure…","eoredthar",1369486286902484992,"2021-03-10 03:12:29",0,926,"",8,173,NA
"22","@LindseyGrahamSC You are a fool, you are not in politics for the party! You are there to serve the people! I am not impressed by you at all!","vermeer_willem",1369486283521851392,"2021-03-10 03:12:28",0,0,"Lagos, Nigeria",69,283,NA
"23","@mister_wynn ""presumption"" does not equal ""fact"" of innocence. #MorrisonRapeCrisis - self-made due to choosing not… https://t.co/4UtStndFNc","suemulhall",1369486283244851200,"2021-03-10 03:12:28",0,0,"Singapore",138,575,NA
"24","TOMORROW IS MY BIRTHDAY !!! SO LETS PARTY :D https://t.co/jvW8OBpx5K via @FacebookGaming #smallstreamer… https://t.co/XrpvnrEPp3","tetto32",1369486279449186304,"2021-03-10 03:12:27",0,1,"Jeddah",456,788,NA
"25","RT @YIonkOh2bL5tAVk: @KevanKenney @arashi5official @MTV REQUEST @arashi5official @MTV #FridayLivestream

I want you to know about ARASHI.
""…","wacoco5",1369486279264530432,"2021-03-10 03:12:27",0,3,"",16,129,NA
"26","RT @maggieNYT: “The former president is also being encouraged by people like Dick Morris, the notorious political consultant known for flip…","SandyKAlano",1369486277205102592,"2021-03-10 03:12:26",0,15,"Apache Junction, AZ",1188,846,NA
"27","@harrisonjaime @Bajagirl2 They have become the party of desperation.","MarcucciFrank",1369486276722909184,"2021-03-10 03:12:26",0,0,"",108,762,NA
"28","@GOPLeader Aren’t you tired of shoveling garbage every day, man? You just keep shoveling and shoveling. It’s all tr… https://t.co/whRNTLplS7","NTucc",1369486276513193984,"2021-03-10 03:12:26",0,0,"Troy, NY",581,967,NA
"29","RT @tendermoments2: @JohnJHarwood @HBRabinowitz The name of the gang is the Republican Party","Rita08538521",1369486275904954368,"2021-03-10 03:12:26",0,2,"",480,337,NA
"30","The Democrats are  Communist and  if the Military doesn't get off their asses and take over the Country. They are g… https://t.co/suamWzAhbU","StipesDede",1369486275636584448,"2021-03-10 03:12:26",0,0,"",1,51,NA
"31","RT @YouTube: #ROSÉ from @BLACKPINK in your area! Don't miss the premiere party for her new music video #OnTheGround on this week's episode…","fortunepieces",1369486275443527680,"2021-03-10 03:12:26",0,17127,"",1,213,NA
"32","RT @GreenPartyUS: 1. It's $25K in 20 states, not ""a"" state — $500K in small donations
 
2. Campaigns must do this during primaries *before*…","Hilbert_Chris",1369486274378207232,"2021-03-10 03:12:26",0,27,"DFW",708,813,NA
"33","RT @WalshFreedom: Because my former political party can’t win on the battlefield of ideas, they try to win by making it much harder for peo…","Wenlindy",1369486274072109056,"2021-03-10 03:12:26",0,3271,"St Louis, MO",66,460,NA
"34","RT @XingPark: 210309 @lay_studio Weibo update：The studio has made a statement regarding an individual's claim of being conned by a work opp…","chaniloeyvoices",1369486271807066112,"2021-03-10 03:12:25",0,628,"Indonesia",2374,3244,NA
"35","RT @fionayamamoto: Pronoun experiment, is it clear who I’m talking about?

Peter and Lucy met at a party. Lucy was a perfectionist. They ha…","transperbole",1369486271165259776,"2021-03-10 03:12:25",0,3,"",1456,668,NA
"36","RT @MeidasTouch: Trump is now literally begging his supporters to donate money to him and not the Republican Party. It's as hilarious as it…","BensonFocus",1369486270871838720,"2021-03-10 03:12:25",0,3936,"Lincoln, Nebraska",168,334,NA
